Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Constituency,Beds,Open 24 Hours,Open Weekends,Operational Status
20140,AAR Mountain mall,Nairobi,Nairobi,Kasarani,Roysambu,Medical Clinic,Private Practice - Nurse / Midwife,KASARANI,0,N,Y,Operational
14183,AAR Nakuru Clinic,Rift Valley,Nakuru,Nakuru,Municipality,Dispensary,Non-Governmental Organizations,NAKURU TOWN,0,N,Y,Operational
11721,AAR Nyali Health Care,Coast,Mombasa,Kisauni,Kisauni,Dispensary,Private Enterprise (Institution),KISAUNI,0,Y,Y,Operational
12863,AAR Thika Road Clinic,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Enterprise (Institution),KASARANI,0,N,N,Operational
18821,Abakaile Dispensary,North Eastern,Garissa,Dadaab,Dertu,Dispensary,Ministry of Health,LAGDERA,0,N,N,Operational
13265,Abakore Sub District Hospital,North Eastern,Wajir,Habaswein,Habaswein,Sub-District Hospital,Ministry of Health,WAJIR SOUTH,0,N,N,Operational
12864,Abandoned Child Care,Nairobi,Nairobi,Dagoretti,Dagoretti,Dispensary,Non-Governmental Organizations,DAGORETI,0,N,N,Operational
19856,Abba Medical Clinic,Central,Nyeri,Nyeri South,,Medical Clinic,Private Enterprise (Institution),OTHAYA,0,N,N,Operational
19484,Abby Clinic,Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Private Enterprise (Institution),WESTLANDS,1,Y,Y,Operational
19117,Abby Health Services,Eastern,Kitui,Kitui Central,Central,Medical Clinic,Private Practice - General Practitioner,KITUI CENTRAL,0,N,Y,Operational
12126,ABC Thange Dispensary,Eastern,Makueni,Kibwezi,Kibwezi,Dispensary,Other Faith Based,KIBWEZI,0,N,N,Operational
13267,Ademasajida Dispensary,North Eastern,Wajir,Wajir West,Ademasajida,Dispensary,Ministry of Health,WAJIR WEST,0,Y,Y,Operational
13463,Adiedo Dispensary,Nyanza,Homa Bay,Rachuonyo North,East Karachuonyo,Dispensary,Ministry of Health,KARACHUONYO,4,N,N,Operational
13464,Administration Police Dispensary (Kisumu East),Nyanza,Kisumu,Kisumu East,Winam,Dispensary,Ministry of Health,KISUMU TOWN EAST,0,N,N,Operational
18171,Administration Police Senior Staff College Dispens,Eastern,Makueni,Nzaui,Emali,Dispensary,Ministry of Health,MAKUENI,0,Y,Y,Operational
18793,Adora Children Clinic,Eastern,Machakos,Machakos,Central,Medical Clinic,Private Practice - Medical Specialist,MACHAKOS TOWN,0,N,Y,Operational
11198,Adu Dispensary,Coast,Kilifi,Magarini,Marafa,Dispensary,Ministry of Health,MAGARINI,0,N,N,Operational
14185,Adurkoit Dispensary,Rift Valley,West Pokot,West Pokot,Kongelai,Dispensary,Ministry of Health,KAPENGURIA,0,N,N,Operational
18372,Advent Med & Dentist Care Centre,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Medical Clinic,Private Practice - General Practitioner,NAKURU TOWN,0,Y,Y,Operational
18535,Adventist Centre For Care and Support (Westlands),Nairobi,Nairobi,Westlands,Kilimani,VCT Centre (Stand-Alone),Other Faith Based,WESTLANDS,0,N,N,Operational
18382,Afraha Maternity and Nursing Home,Rift Valley,Nakuru,Nakuru,Nakuru Munincipal,Nursing Home,Private Enterprise (Institution),NAKURU TOWN,10,Y,Y,Operational
13268,Africa Inland Church Dispensary,North Eastern,Wajir,Wajir East,Central,Dispensary,Christian Health Association of Kenya,WAJIR EAST,0,N,Y,Operational
20090,African Divine Church-Org,Nairobi,Nairobi,Starehe,Huruma,VCT Centre (Stand-Alone),Other Faith Based,STAREHE,0,N,Y,Operational
12865,Afwan Medical Centre,Nairobi,Nairobi,Kamukunji,Pumwani,Nursing Home,Private Enterprise (Institution),KAMUKUNJI,40,Y,Y,Operational
17335,Afwein Dispensary,North Eastern,Garissa,Lagdera,Shantabak,Dispensary,Ministry of Health,LAGDERA,0,N,N,Operational
19162,Afwene Clinic,North Eastern,Garissa,Garissa,,Medical Clinic,Private Practice - Clinical Officer,DUJIS,0,N,Y,Operational
17577,Afya Bora Clinic,Central,Kirinyaga,Kirinyaga North,Mwea,Medical Clinic,Private Practice - General Practitioner,MWEA,0,N,Y,Operational
11919,Afya Bora Clinic (Meru South),Eastern,Tharaka Nithi,Meru South,Chuka,Medical Clinic,Private Enterprise (Institution),NITHI,0,N,N,Operational
17819,Afya Bora Clinic (Mutomo),Eastern,Kitui,Mutomo,Mutomo,Medical Clinic,Private Practice - Nurse / Midwife,KITUI SOUTH,0,N,N,Operational
10011,Afya Bora Clinic (Mwea),Central,Kirinyaga,Kirinyaga North,Mwea,Medical Clinic,Private Enterprise (Institution),MWEA,0,N,N,Operational
19966,Afya Bora Clinic Karia,Central,Kiambu,Githunguri,Githunguri,Medical Clinic,Private Practice - Nurse / Midwife,GITHUNGURI,0,N,Y,Operational
19515,Afya Bora Health Care,Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Non-Governmental Organizations,WESTLANDS,12,Y,Y,Operational
19794,Afya Bora Health Clinic,Central,Nyandarua,Nyandarua West,Oljoro orok,Medical Clinic,Private Practice - Nurse / Midwife,OL KALOU,0,N,N/A,Operational
19662,Afya Bora Mc,Rift Valley,Trans Nzoia,Trans Nzoia West,Central,Medical Clinic,Private Practice - Nurse / Midwife,SABOTI,0,N,Y,Operational
16411,Afya Bora Medical Clinic,Rift Valley,Nakuru,Njoro,Mau-Narok,Medical Clinic,Private Enterprise (Institution),MOLO,0,N,N,Operational
16491,Afya Bora Medical Clinic (CFW Clinic Gichugu),Central,Kirinyaga,Kirinyaga East,Gichugu,Medical Clinic,Private Practice - Nurse / Midwife,GICHUGU,0,N,N,Operational
19131,Afya Medical Laboratory,Eastern,Meru,Buuri,Buuri,Laboratory (Stand-alone),Private Practice - Unspecified,NORTH IMENTI,0,N,Y,Operational
19453,Afya Medical Services,Nairobi,Nairobi,Embakasi,Kayole,Medical Clinic,Private Practice - Unspecified,EMBAKASI,2,Y,Y,Operational
19645,Afya Medicare Clinic,Central,Nyeri,Kieni East,Kiamathaga,Medical Clinic,Private Practice - Nurse / Midwife,KIENI,0,N,Y,Operational
13271,Afya Medicare Clinic (Wajir East),North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,N,Not-Operational
11921,Afya Njema Clinic,Eastern,Machakos,Athi River,Athi River,Medical Clinic,Private Enterprise (Institution),KATHIANI,0,N,N,Operational
14188,Afya Njema Medical Clinic,Rift Valley,Nakuru,Rongai,Rongai,Medical Clinic,Private Enterprise (Institution),RONGAI,0,N,N,Operational
18021,Afya Njema Medical Clinic (Nyeri North),Central,Nyeri,Kieni East,Kieni East,Medical Clinic,Private Practice - Clinical Officer,KIENI,0,N,N,Operational
18428,Afya Nursing Home (Moyale),Eastern,Marsabit,Moyale,Central,Nursing Home,Private Practice - Clinical Officer,MOYALE,20,Y,Y,Operational
19764,Afya Yako Medical Clinic,Central,Nyeri,Nyeri Central,,Medical Clinic,Private Practice - Clinical Officer,NYERI TOWN,0,N,N,Operational
19082,Afya Yetu Medical Centre,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,Medical Clinic,Private Practice - General Practitioner,KAJIADO NORTH,0,N,Y,Operational
19397,Afyamax Medical & Centre Dental,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,KASARANI,0,N,Y,Operational
20065,Aga Khan Clinic,Rift Valley,Laikipia,Laikipia Central,Sweetwaters,Medical Clinic,Private Enterprise (Institution),LAIKIPIA EAST,0,N,N,Operational
18223,Aga Khan Clinic Kitengela,Rift Valley,Kajiado,Kajiado North,Kitengela,Medical Clinic,Private Practice - General Practitioner,KAJIADO NORTH,0,N,N,Operational
19457,Aga Khan Greenspam Medical Centre,Nairobi,Nairobi,Embakasi,Umoja,Medical Clinic,Private Practice - Unspecified,EMBAKASI,2,N,Y,Operational
12867,Aga Khan Hospital,Nairobi,Nairobi,Westlands,Westlands,Other Hospital,Private Enterprise (Institution),WESTLANDS,243,Y,Y,Operational
13465,Aga Khan Hospital (Kisumu),Nyanza,Kisumu,Kisumu East,Winam,Other Hospital,Private Enterprise (Institution),KISUMU TOWN EAST,56,Y,Y,Operational
11203,Aga Khan Hospital (Mombasa),Coast,Mombasa,Mvita,Island,Other Hospital,Private Enterprise (Institution),MVITA,89,Y,Y,Operational
19464,Aga Khan Reinsurance Plaza Lab,Nairobi,Nairobi,Starehe,central,Laboratory (Stand-alone),Private Practice - Unspecified,STAREHE,0,N,Y,Operational
19223,Aga Khan University Hospital - Embu,Eastern,Embu,Embu West,Central,Other Hospital,Private Practice - Medical Specialist,MANYATTA,0,N,Y,Operational
12868,Aga Khan University Hospital (Buruburu),Nairobi,Nairobi,Makadara,Makadara,Dispensary,Private Enterprise (Institution),MAKADARA,0,N,Y,Operational
19335,Aga Khan University Hospital Clinic (Naivasha),Rift Valley,Nakuru,Naivasha,Central,Medical Clinic,Private Enterprise (Institution),NAIVASHA,0,N,Y,Operational
18738,Aga Khan University Hospital -New Machakos Medical,Eastern,Machakos,Machakos,Central,Medical Clinic,Private Practice - General Practitioner,MACHAKOS TOWN,0,N,Y,Operational
17857,Aga Khan University Hospital- Nyeri Medical Centre,Central,Nyeri,Nyeri Central,Municipality,Health Centre,Private Enterprise (Institution),NYERI TOWN,0,N,N/A,Operational
14189,Aga Khan University Hospital O/R Clinic,Rift Valley,Kajiado,Kajiado North,Ngong,Medical Clinic,Private Practice - General Practitioner,KAJIADO NORTH,0,N,N,Operational
10016,Agape Medical Services,Central,Murang'a,Kigumo,Kigumo,Medical Clinic,Private Practice - Nurse / Midwife,KIGUMO,0,N,N,Not-Operational
16350,Ainabkoi (RCEA) Health Centre,Rift Valley,Uasin Gishu,Eldoret East,Ainapkoi,Health Centre,Ministry of Health,ELDORET EAST,2,N,N,Operational
19885,Ainamoi Dispensary,Rift Valley,Nakuru,Kuresoi,Olenguruone,Dispensary,Community Development Fund,KURESOI,0,N,N,Not-Operational
14192,Ainamoi Health Centre,Rift Valley,Kericho,Kericho,Ainamoi,Health Centre,Ministry of Health,AINAMOI,24,Y,Y,Operational
11922,Air Port Medical Centre,Eastern,Machakos,Athi River,Athi River,Medical Clinic,Private Enterprise (Institution),KATHIANI,2,Y,Y,Operational
19817,Airborne No Twist Huduma Bora Clinic,Central,Kirinyaga,Kirinyaga East,,Medical Clinic,Private Practice - Nurse / Midwife,GICHUGU,0,N,N,Operational
13469,Airport Dispensary (Kisumu),Nyanza,Kisumu,Kisumu East,Winam,Dispensary,Local Authority,KISUMU TOWN WEST,0,N,N,Operational
11204,Airport View Medical Clinic,Coast,Mombasa,Changamwe,Changamwe,Medical Clinic,Private Enterprise (Institution),CHANGAMWE,0,N,N,Operational
18038,Airstrip Medical Clinic (Moyale),Eastern,Marsabit,Moyale,Central,Medical Clinic,Other Public Institution,SAKU,0,N,Y,Operational
14193,Aiyebo Dispensary,Rift Valley,Baringo,Baringo North,Kabartonjo,Dispensary,Ministry of Health,BARINGO NORTH,0,N,N,Operational
18398,Ajam VCT,Rift Valley,Kajiado,Kajiado North,Ongata Rongai,VCT Centre (Stand-Alone),Non-Governmental Organizations,KAJIADO NORTH,0,N,N,Operational
13272,Ajawa Health Centre,North Eastern,Wajir,Wajir North,Gurar,Health Centre,Ministry of Health,WAJIR NORTH,0,Y,Y,Operational
11923,Akachiu Health Centre,Eastern,Meru,Igembe South,Igembe S,Health Centre,Ministry of Health,IGEMBE,8,N,N,Operational
13470,Akado Dispensary,Nyanza,Homa Bay,Mbita,Mbita,Dispensary,Private Practice - Nurse / Midwife,MBITA,2,N,N,Not-Operational
13471,Akala Health Centre,Nyanza,Siaya,Gem,Wagai,Health Centre,Ministry of Health,GEM,0,Y,Y,Operational
17770,Akemo Medical Clinic,Coast,Mombasa,Likoni,Likoni,Medical Clinic,Private Practice - Nurse / Midwife,LIKONI,4,Y,Y,Operational
14194,Akemo Nursing Home,Rift Valley,Narok,Trans Mara West - Dikirr,Kilgoris,Maternity Home,Private Enterprise (Institution),KILGORIS,78,Y,Y,Operational
18764,Akicha Medical Services,Rift Valley,Turkana,Turkana Central,Central,Medical Clinic,Private Practice - Clinical Officer,TURKANA CENTRAL,0,N,Y,Operational
15792,Akichelesit Dispensary,Western,Busia,Teso North,Angurai,Dispensary,Ministry of Health,AMAGORO,0,N,N,Operational
13462,Akidiva Clinic,Nyanza,Migori,Kuria West,Mabera,Medical Clinic,Private Enterprise (Institution),KURIA,1,N,N,Operational
10604,Akshar Nursing Home,Central,Kiambu,Kikuyu,Kikuyu,Nursing Home,Private Enterprise (Institution),KABETE,44,Y,Y,Operational
19154,Al - Azhar Medical Clinic Centre,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Practice - Nurse / Midwife,WAJIR EAST,0,N,Y,Operational
19149,Al - Bushra Medical Centre,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,20,Y,Y,Operational
19174,Al - Hayat Medicare,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Practice - Nurse / Midwife,WAJIR EAST,0,N,Y,Operational
13276,Al-Furaqan Clinic,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,Y,Operational
16801,Al-Gadhir Clinic,Nairobi,Nairobi,Dagoretti,Dagoretti,Medical Clinic,Non-Governmental Organizations,DAGORETI,0,N,N,Operational
18009,Algadir Medical Clinic,Rift Valley,Nakuru,Nakuru,Nakuru Municipality,Dispensary,Supreme Council for Kenya Muslims,NAKURU TOWN,0,N,N,Operational
18982,Alhamdu Medical Clinic,North Eastern,Wajir,Habaswein,Habaswein,Medical Clinic,Private Practice - Nurse / Midwife,WAJIR SOUTH,0,N,Y,Operational
13277,Al-Hamdu Medical Clinic,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,N,Not-Operational
13278,Al-Haqq Medical Clinic,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,Y,Operational
18956,Al-Hidaya Clinic,North Eastern,Garissa,Lagdera,Lagdera,Medical Clinic,Private Practice - Clinical Officer,LAGDERA,0,N,N,Operational
19031,Alhidaya Medical Clinic,North Eastern,Wajir,Habaswein,Habaswein,Medical Clinic,Private Practice - Clinical Officer,WAJIR SOUTH,0,N,Y,Operational
12869,Alice Nursing Home,Nairobi,Nairobi,Embakasi,Embakasi,Nursing Home,Private Enterprise (Institution),EMBAKASI,8,Y,Y,Operational
17012,Alikune Dispensary,North Eastern,Garissa,Dadaab,Lagdera,Dispensary,Ministry of Health,LAGDERA,0,N,N,Operational
13281,Alimaow Health Centre,North Eastern,Wajir,Wajir East,Central,Health Centre,Ministry of Health,WAJIR EAST,5,Y,Y,Operational
13282,Alinjugur Health Centre,North Eastern,Garissa,Fafi,Jarajilla,Health Centre,Ministry of Health,FAFI,0,N,Y,Operational
10021,All Day Medical Clinic,Central,Murang'a,Mathioya,Mathioya,Medical Clinic,Private Enterprise (Institution),MATHIOYA,0,N,N,Operational
17794,All Nation Medical Clinic,Rift Valley,Nakuru,Subukia,Kiamaina,Medical Clinic,Other Faith Based,SUBUKIA,0,N,N,Operational
15793,All Saints Musaa,Western,Kakamega,Kakamega Central (Lurambi),Lurambi,Medical Clinic,Private Enterprise (Institution),LURAMBI,0,N,N,Not-Operational
15794,Alliance Clinic,Western,Vihiga,Sabatia,Chavakali,Medical Clinic,Private Practice - Nurse / Midwife,SABATIA,0,N,Y,Operational
17847,Alliance Medical Centre,Nairobi,Nairobi,Kamukunji,Eastleigh South,Medical Clinic,Private Enterprise (Institution),KAMUKUNJI,20,Y,Y,Operational
18999,Alliance Medical Clinic,North Eastern,Garissa,Garissa,,Medical Clinic,Private Practice - Medical Specialist,DUJIS,0,Y,Y,Operational
19822,Alliance Medical Clinic (Kirinyaga),Central,Kirinyaga,Kirinyaga West,,Medical Clinic,Private Practice - Nurse / Midwife,NDIA,0,N,Y,Operational
13283,Al-Maaruf Clinic,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,Y,Operational
13284,Al-Maqdis ENT Clinic,North Eastern,Garissa,Garissa,Central,Medical Clinic,Private Enterprise (Institution),DUJIS,0,N,N,Operational
16557,Almed Health Products,Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Enterprise (Institution),NORTH IMENTI,0,N,N,Operational
19653,Alms House Dispensary,Coast,Mombasa,Mvita,Island,Dispensary,Local Authority,MVITA,0,N,N,Operational
18404,Al-Mumtaz Medical Clinic,North Eastern,Garissa,Garissa,Central,Medical Clinic,Private Practice - Nurse / Midwife,DUJIS,0,N,Y,Operational
13285,Al-Mustaqim Clinic,North Eastern,Wajir,Wajir East,Central,Medical Clinic,Private Enterprise (Institution),WAJIR EAST,0,N,Y,Not-Operational
16294,Alnas Medical Clinic,North Eastern,Mandera,Mandera East,Central,Medical Clinic,Private Enterprise (Institution),MANDERA EAST,0,N,N,Operational
19000,Alnasar Medical Clinic,North Eastern,Garissa,Garissa,,Medical Clinic,Private Practice - Clinical Officer,DUJIS,0,N,Y,Operational
19748,Alpha Dental Services,Rift Valley,Trans Nzoia,Trans Nzoia West,Central,Dental Clinic,Private Practice - Medical Specialist,SABOTI,0,N,Y,Operational
11219,Amani Medical Clinic (Malindi),Coast,Kilifi,Magarini,Magarini,Medical Clinic,Private Practice - Nurse / Midwife,MAGARINI,0,N,N,Not-Operational
19075,Amani Medical Clinic (Meru),Eastern,Meru,Imenti North,Mirigamieru West,Medical Clinic,Private Practice - Nurse / Midwife,NORTH IMENTI,0,N,Y,Operational
18718,Amani Medical Clinic (Meru),Eastern,Meru,Imenti North,Miriga Mieru West,Medical Clinic,Private Practice - Unspecified,NORTH IMENTI,0,N/A,N/A,Operational
17561,Amani Medical Clinic (Murungaru),Central,Nyandarua,Nyandarua South,North Kinangop,Medical Clinic,Private Practice - Nurse / Midwife,KINANGOP,0,N,N,Operational
10026,Amani Medical Clinic (Nyeri North),Central,Nyeri,Mathira East,Mathira,Medical Clinic,Private Practice - Clinical Officer,MATHIRA,0,N,N,Operational
17559,Amani Medical Clinic Magumu,Central,Nyandarua,Kinangop,south kinangop,Medical Clinic,Private Practice - Nurse / Midwife,KINANGOP,0,N,N,Operational
18921,Amani Medical Clinic Yatta,Eastern,Machakos,Machakos,Central,Medical Clinic,Private Practice - Nurse / Midwife,MACHAKOS TOWN,0,N,Y,Operational
17624,Amani VCT,Coast,Mombasa,Kisauni,Kisauni,VCT Centre (Stand-Alone),Non-Governmental Organizations,KISAUNI,0,N/A,N/A,Operational
15797,Amase Dispensary,Western,Busia,Teso South,Chakol,Dispensary,Ministry of Health,AMAGORO,0,N,N,Operational
13475,Amatierio Dispensary,Nyanza,Nyamira,Nyamira North,Ekerenyo,Health Centre,Ministry of Health,NORTH MUGIRANGO,6,N,N,Operational
17797,Amaya/Plesian Dispensary,Rift Valley,Baringo,East Pokot,Churo,Dispensary,Ministry of Health,BARINGO EAST,0,N/A,N/A,Operational
19656,Amazing Grace M C,Central,Nyandarua,Nyandarua West,Oljoro-orok,Medical Clinic,Ministry of Health,OL KALOU,0,N,Y,Operational
11927,Ambalo Dispensary,Eastern,Marsabit,Sololo,Obbu,Dispensary,Ministry of Health,MOYALE,0,N,N,Operational
13476,Ambira Sub-District Hospital,Nyanza,Siaya,Ugunja,Ugunja,Sub-District Hospital,Ministry of Health,UGENYA,50,Y,Y,Operational
10027,Amboni Dispensary,Central,Nyeri,Kieni West,Kieni West,Dispensary,Ministry of Health,KIENI,0,N,N,Operational
14200,Amboseli Dispensary,Rift Valley,Kajiado,Loitoktok,Entonet,Dispensary,Ministry of Health,KAJIADO SOUTH,4,Y,Y,Operational
14201,Amboseli Serena Lodge Clinic,Rift Valley,Kajiado,Loitoktok,Entonet,Medical Clinic,Company Medical Service,KAJIADO SOUTH,4,Y,Y,Operational
20136,AMEC Laboratories,Rift Valley,Nakuru,Nakuru,Municipality,Laboratory (Stand-alone),Private Enterprise (Institution),NAKURU TOWN,0,N,Y,Operational
19022,Amina Medical Clinic,Coast,Kilifi,Bahari,Kikambala,Medical Clinic,Private Practice - Nurse / Midwife,BAHARI,0,Y,Y,Operational
16768,Amoyo Dispensary,Nyanza,Homa Bay,Ndhiwa,Nyarongi,Dispensary,Ministry of Health,NDHIWA,0,N,N,Operational
11928,Amugaa Health Centre,Eastern,Meru,Tigania East,Tigania East,Health Centre,Ministry of Health,TIGANIA EAST,0,N,N,Operational
15798,Amukura Health Centre,Western,Busia,Teso South,Amukura,Health Centre,Ministry of Health,AMAGORO,12,Y,Y,Operational
15799,Amukura Mission Health Centre,Western,Busia,Teso South,Amukura,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,AMAGORO,28,Y,Y,Operational
13288,Amuma Dispensary,North Eastern,Garissa,Fafi,Jarajilla,Dispensary,Ministry of Health,FAFI,0,N,N,Operational
13289,Amuma Mobile Dispensary,North Eastern,Garissa,Fafi,Jarajilla,Dispensary,Ministry of Health,FAFI,0,N,N,Operational
19404,Annex Health Care,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Practice - General Practitioner,KASARANI,0,N,Y,Operational
14207,Annex Hospital (Nakuru),Rift Valley,Nakuru,Nakuru,Municipality,Other Hospital,Ministry of Health,NAKURU TOWN,60,Y,Y,Operational
10031,Annex Laboratory,Central,Nyeri,Nyeri Central,Municipality,Laboratory (Stand-alone),Private Enterprise (Institution),NYERI TOWN,0,N,N,Operational
19904,Annex Medical Clinic,Eastern,Embu,Mbeere North,Siakago,Medical Clinic,Private Practice - Clinical Officer,SIAKAGO,0,N/A,N/A,Operational
10032,Annex Medical Clinic (Muranga North),Central,Murang'a,Mathioya,Mathioya,Medical Clinic,Private Enterprise (Institution),MATHIOYA,0,N,N,Operational
14208,Annex Medical Clinic (Trans Nzoia West),Rift Valley,Trans Nzoia,Trans Nzoia West,Kiminini,Medical Clinic,Private Enterprise (Institution),SABOTI,0,N,N,Operational
18816,Annointed Medical Clinic,Western,Kakamega,Mumias,East Wanga,Medical Clinic,Private Practice - Clinical Officer,MUMIAS,0,Y,N,Operational
10033,Annunciation Catholic Dispensary,Central,Kiambu,Ruiru,Githurai,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,JUJA,1,Y,Y,Operational
11930,Anona Dispensary,Eastern,Marsabit,Sololo,Uran,Dispensary,Ministry of Health,MOYALE,0,N,N,Operational
11222,Ansar Medical Clinic,Coast,Mombasa,Changamwe,Jomvu,Medical Clinic,Private Enterprise (Institution),CHANGAMWE,0,N,N,Not-Operational
18618,Antodevi Medical Clinic,Eastern,Meru,Igembe South,Igembe Central,Medical Clinic,Private Enterprise (Institution),IGEMBE,0,N,Y,Operational
10034,Antony Njogu Clinic,Central,Nyeri,Nyeri Central,Municipality,Medical Clinic,Private Enterprise (Institution),NYERI TOWN,0,N,N,Not-Operational
17718,Antubangai Catholic Dispensary,Eastern,Meru,Igembe North,Ndoleli,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,NTONYIRI,0,N,N,Operational
17068,Antubetwe Njoune Dispensary,Eastern,Meru,Igembe South,Kiengu,Dispensary,Ministry of Health,IGEMBE,0,N/A,N/A,Pending Opening
17067,Antubochiu Dispensary,Eastern,Meru,Igembe South,Igembe Central,Dispensary,Ministry of Health,IGEMBE,0,N/A,N/A,Operational
13482,Anyuongi Dispensary,Nyanza,Siaya,Bondo,Nyang'oma,Dispensary,Ministry of Health,BONDO,0,N,N,Operational
17649,Ap Buru Buru Disp,North Eastern,Mandera,Lafey,central,Dispensary,Ministry of Health,MANDERA EAST,0,N,N,Operational
15801,Ap Line Dispensary,Western,Kakamega,Kakamega Central (Lurambi),Municipality,Dispensary,Ministry of Health,LURAMBI,4,N,N,Operational
11931,Apdk Dispensary (Machakos),Eastern,Machakos,Machakos,Central,Dispensary,Ministry of Health,MACHAKOS TOWN,0,N,N,Operational
16872,Apex Clinic,Nyanza,Siaya,Bondo,Usigu,Dispensary,Private Enterprise (Institution),BONDO,1,N,N,Operational
16492,Apha Laboratory,Central,Kirinyaga,Kirinyaga West,Ndia West,Laboratory (Stand-alone),Private Enterprise (Institution),NDIA,0,N,N,Operational
18671,Aphia Disc 1 Nanyuki Transport,Rift Valley,Laikipia,Laikipia East,Central,Medical Clinic,Non-Governmental Organizations,LAIKIPIA EAST,0,N,N,Operational
20022,Aphia Plus Marps Dic Nanyuki,Rift Valley,Laikipia,Laikipia East,Central,Medical Clinic,Non-Governmental Organizations,LAIKIPIA EAST,0,N,N,Operational
18790,Aphiaplus Drop-In Centre (Naivasha),Rift Valley,Nakuru,Naivasha,Central,Medical Clinic,Non-Governmental Organizations,NAIVASHA,0,N,N,Operational
15802,Apokor Dispensary,Western,Busia,Teso North,Amukura,Dispensary,Ministry of Health,AMAGORO,0,N,N,Operational
14213,Arimi Dispensary,Rift Valley,Nakuru,Molo,Elburgon,Dispensary,Ministry of Health,MOLO,0,N,N,Operational
13484,Arito Langi Dispensary,Nyanza,Kisumu,Kisumu West,Kombewa,Dispensary,Ministry of Health,KISUMU RURAL,0,N,N,Operational
14197,Arjijo Dispensary,Rift Valley,Laikipia,Laikipia North,Mukogodo,Dispensary,Ministry of Health,LAIKIPIA EAST,4,Y,Y,Operational
